year,month_id,time_name,"obs_value_Area Albany County, NY","obs_value_Area Allegany County, NY","obs_value_Area Bronx County, NY","obs_value_Area Broome County, NY","obs_value_Area Cattaraugus County, NY","obs_value_Area Cayuga County, NY","obs_value_Area Chautauqua County, NY","obs_value_Area Chemung County, NY","obs_value_Area Chenango County, NY","obs_value_Area Clinton County, NY","obs_value_Area Columbia County, NY","obs_value_Area Cortland County, NY","obs_value_Area Delaware County, NY","obs_value_Area Dutchess County, NY","obs_value_Area Erie County, NY","obs_value_Area Essex County, NY","obs_value_Area Franklin County, NY","obs_value_Area Fulton County, NY","obs_value_Area Genesee County, NY","obs_value_Area Greene County, NY","obs_value_Area Hamilton County, NY","obs_value_Area Herkimer County, NY","obs_value_Area Jefferson County, NY","obs_value_Area Kings County, NY","obs_value_Area Lewis County, NY","obs_value_Area Livingston County, NY","obs_value_Area Madison County, NY","obs_value_Area Monroe County, NY","obs_value_Area Montgomery County, NY","obs_value_Area Nassau County, NY","obs_value_Area New York County, NY","obs_value_Area Niagara County, NY","obs_value_Area Oneida County, NY","obs_value_Area Onondaga County, NY","obs_value_Area Ontario County, NY","obs_value_Area Orange County, NY","obs_value_Area Orleans County, NY","obs_value_Area Oswego County, NY","obs_value_Area Otsego County, NY","obs_value_Area Putnam County, NY","obs_value_Area Queens County, NY","obs_value_Area Rensselaer County, NY","obs_value_Area Richmond County, NY","obs_value_Area Rockland County, NY","obs_value_Area St. Lawrence County, NY","obs_value_Area Saratoga County, NY","obs_value_Area Schenectady County, NY","obs_value_Area Schoharie County, NY","obs_value_Area Schuyler County, NY","obs_value_Area Seneca County, NY","obs_value_Area Steuben County, NY","obs_value_Area Suffolk County, NY","obs_value_Area Sullivan County, NY","obs_value_Area Tioga County, NY","obs_value_Area Tompkins County, NY","obs_value_Area Ulster County, NY","obs_value_Area Warren County, NY","obs_value_Area Washington County, NY","obs_value_Area Wayne County, NY","obs_value_Area Westchester County, NY","obs_value_Area Wyoming County, NY","obs_value_Area Yates County, NY"
2018,M01,2018 Jan,151242,18519,589743,79736,32752,34580,51878,34088,21444,34768,29988,21981,18015,138210,422147,16531,18651,21731,28273,20007,1979,26627,41285,1199136,11225,29596,31301,346063,21467,677470,917856,93910,96827,210800,53365,175892,16865,49909,26472,49057,1147344,77862,222508,147985,40996,114753,72907,14017,7592,15337,40985,742461,33184,21831,47102,84373,29454,26501,42278,461130,17270,11596
2018,M02,2018 Feb,151662,18902,596790,79998,32561,34322,51801,33702,21169,34890,29957,22462,18106,138005,420164,16438,18672,21637,28156,19792,1950,26501,41064,1213713,11112,29555,31155,346729,21237,675035,929047,93418,96471,210338,53387,175268,16813,49768,26896,49016,1161201,78060,225199,147613,41372,115024,73106,14007,7623,15287,40621,739566,33457,21884,49164,84424,29418,26385,42216,460040,17079,11523
2018,M03,2018 Mar,153015,18780,594995,80815,32437,34118,52030,33985,21234,34755,29797,22209,17982,139158,425234,16156,18646,21822,28086,19680,1979,26552,41576,1210825,10914,29516,31157,350162,21342,685397,926930,94350,97024,212265,53644,177221,16698,50108,26970,49537,1158156,78699,224652,149761,41334,115902,73750,13970,7610,15332,40591,750204,33721,22042,49346,85355,29574,26228,42154,466870,16863,11316
2018,M04,2018 Apr,154409,18795,592450,81663,32138,34504,52002,34005,21297,35030,30425,22131,18113,140415,427075,15481,18605,21922,28553,19677,1926,26710,41991,1206438,10879,29748,31457,352840,21536,693055,923731,94757,97560,214312,54077,178383,16810,50602,27147,49991,1153715,79438,223512,150950,41788,117036,74434,14107,7848,15524,40913,758293,34291,22259,50337,86124,29803,26425,42448,470853,16979,11417
2018,M05,2018 May,155836,18552,591557,82753,32302,34658,53134,34332,21513,35264,30514,22011,18257,141394,434027,15827,18828,22285,29070,19912,2112,26837,43329,1204519,10879,29722,31426,356599,21661,701369,922184,96102,98460,216075,54343,179854,16724,50886,27278,50445,1151867,80081,223484,152433,41750,117853,75098,14060,8044,15690,40859,767072,34833,22511,49553,87303,30829,27009,42448,475265,16963,11192
2018,M06,2018 Jun,157621,18352,592786,83264,32848,35735,53850,35116,22036,35245,31414,21600,18664,142701,437796,17011,19297,22631,29846,20699,2344,27347,44665,1205725,11436,30120,31920,358439,22042,712860,922892,97084,100095,218036,54809,183002,17038,51423,27938,50822,1153455,81014,224016,154499,41180,119227,75951,14329,8258,16086,41941,780520,36222,22710,47910,88403,32452,28632,43056,481284,17648,11477
2018,M07,2018 Jul,156884,18716,592128,82257,33557,35866,55573,34513,22510,35755,31936,21786,19308,143946,438601,17917,19447,22485,29995,20831,2647,27498,45010,1204260,11369,30124,32124,356460,21821,712649,921772,97354,100454,218502,54656,184431,17078,51592,28386,51215,1152113,80678,223662,155530,41464,118790,75607,14348,8398,16313,41769,780514,37638,22461,48311,88392,32886,29147,43046,484504,17947,11584
2018,M08,2018 Aug,155681,18623,589885,81531,33185,35633,54576,34407,22444,35459,31594,21701,19130,141759,436886,17776,19380,22398,29845,20569,2644,27301,44519,1198779,11295,29925,31998,353873,21778,701780,917396,96989,99750,217535,54253,181753,16998,51355,27926,50419,1147159,80032,222984,152984,41008,117786,75012,14238,8192,16152,41770,769037,37636,22286,47660,87040,32533,28870,42808,476245,17946,11508
2018,M09,2018 Sep,156328,19091,587426,82765,33367,35527,54197,34861,22028,35993,31515,22452,18832,142008,439146,16862,19275,22276,29624,20330,2309,27017,43788,1194721,11279,30370,32208,358864,21957,701753,914485,97504,98589,218767,55062,181178,17228,51675,27721,50505,1142988,80408,221833,152778,42734,118415,75342,14328,8237,16128,42082,768592,35780,22608,49649,88012,31238,27788,43400,476044,17833,11706
2018,M10,2018 Oct,156711,18916,593528,82625,33147,35251,53017,34764,21722,35861,30983,22447,18638,143071,436699,16294,18986,22191,29343,19889,2149,27198,43071,1206857,11241,30299,31976,358657,21935,700551,923710,96936,99348,217451,54975,181513,17185,51343,27636,50900,1154676,80580,224242,153024,42599,118629,75519,14330,8114,15951,41559,767323,35432,22567,50742,87743,30684,27270,43315,476674,17616,11642
