year,month_id,time_name,"obs_value_Area Albany County, NY","obs_value_Area Allegany County, NY","obs_value_Area Bronx County, NY","obs_value_Area Broome County, NY","obs_value_Area Cattaraugus County, NY","obs_value_Area Cayuga County, NY","obs_value_Area Chautauqua County, NY","obs_value_Area Chemung County, NY","obs_value_Area Chenango County, NY","obs_value_Area Clinton County, NY","obs_value_Area Columbia County, NY","obs_value_Area Cortland County, NY","obs_value_Area Delaware County, NY","obs_value_Area Dutchess County, NY","obs_value_Area Erie County, NY","obs_value_Area Essex County, NY","obs_value_Area Franklin County, NY","obs_value_Area Fulton County, NY","obs_value_Area Genesee County, NY","obs_value_Area Greene County, NY","obs_value_Area Hamilton County, NY","obs_value_Area Herkimer County, NY","obs_value_Area Jefferson County, NY","obs_value_Area Kings County, NY","obs_value_Area Lewis County, NY","obs_value_Area Livingston County, NY","obs_value_Area Madison County, NY","obs_value_Area Monroe County, NY","obs_value_Area Montgomery County, NY","obs_value_Area Nassau County, NY","obs_value_Area New York County, NY","obs_value_Area Niagara County, NY","obs_value_Area Oneida County, NY","obs_value_Area Onondaga County, NY","obs_value_Area Ontario County, NY","obs_value_Area Orange County, NY","obs_value_Area Orleans County, NY","obs_value_Area Oswego County, NY","obs_value_Area Otsego County, NY","obs_value_Area Putnam County, NY","obs_value_Area Queens County, NY","obs_value_Area Rensselaer County, NY","obs_value_Area Richmond County, NY","obs_value_Area Rockland County, NY","obs_value_Area St. Lawrence County, NY","obs_value_Area Saratoga County, NY","obs_value_Area Schenectady County, NY","obs_value_Area Schoharie County, NY","obs_value_Area Schuyler County, NY","obs_value_Area Seneca County, NY","obs_value_Area Steuben County, NY","obs_value_Area Suffolk County, NY","obs_value_Area Sullivan County, NY","obs_value_Area Tioga County, NY","obs_value_Area Tompkins County, NY","obs_value_Area Ulster County, NY","obs_value_Area Warren County, NY","obs_value_Area Washington County, NY","obs_value_Area Wayne County, NY","obs_value_Area Westchester County, NY","obs_value_Area Wyoming County, NY","obs_value_Area Yates County, NY","obs_value_Area Brighton town (Monroe County), NY"
2018,M01,2018 Jan,7125,1591,40175,5438,2552,2148,3703,2083,1533,2130,1392,1752,1316,6455,24821,1179,1397,1614,1765,1251,241,1963,3571,58095,1014,1818,2191,18564,1633,29756,38844,7201,5757,10957,2938,8591,1233,4088,1709,2275,47982,4073,10564,6802,3316,5341,3715,1098,636,847,2993,38374,1955,1435,2169,4442,2180,1659,2469,22141,1319,640,635
2018,M02,2018 Feb,7220,1569,39244,5554,2581,2183,3775,2180,1541,2150,1463,1694,1328,6740,25624,1217,1433,1662,1784,1290,252,2014,3637,57229,1031,1871,2236,19440,1682,30677,38244,7271,5912,11414,3113,8940,1250,4116,1719,2390,47139,4160,10313,7072,3337,5666,3890,1052,644,893,2976,39266,1946,1435,2272,4507,2136,1693,2584,23223,1329,650,692
2018,M03,2018 Mar,6523,1388,37119,4931,2313,1997,3391,1947,1384,1917,1280,1529,1158,5957,23051,1117,1261,1464,1607,1129,247,1809,3294,54436,915,1678,2009,17517,1472,27400,36328,6536,5304,10134,2769,7931,1094,3617,1498,2104,44441,3722,9694,6339,2968,5018,3512,931,590,773,2653,34722,1724,1270,1977,3938,1968,1474,2318,20671,1177,580,605
2018,M04,2018 Apr,5791,1150,33754,4203,1937,1667,2834,1661,1114,1654,1064,1255,1004,5284,19772,934,1134,1187,1264,995,230,1458,2643,50732,744,1403,1665,15527,1156,24295,33541,5372,4623,8799,2264,7182,905,2934,1279,1833,40915,3184,8987,5658,2540,4264,3071,746,456,625,2208,29025,1495,1010,1806,3356,1614,1170,1924,18146,881,462,536
2018,M05,2018 May,5264,931,30870,3598,1614,1406,2408,1536,882,1407,928,965,787,4909,17641,710,940,1006,1058,840,150,1159,2092,46319,529,1208,1333,14249,1029,23068,30843,4597,4023,7901,1893,6744,730,2461,1038,1722,37076,2786,8180,5277,2127,3729,2828,603,358,549,1973,26505,1319,870,1587,3111,1247,987,1571,17309,665,362,537
2018,M06,2018 Jun,6237,1059,36536,4126,1666,1531,2670,1679,962,1641,1019,1112,924,5614,19373,722,944,1054,1151,890,107,1196,2144,55393,532,1305,1530,15663,1049,26131,36819,4765,4485,9028,2116,7499,831,2815,1249,1947,45122,3215,9984,6019,2481,4149,3118,664,356,620,2004,29494,1435,948,2027,3512,1248,1081,1754,19459,673,410,600
2018,M07,2018 Jul,6184,1062,38933,4182,1683,1626,2715,1651,937,1627,991,1091,910,5549,20106,684,936,1044,1115,912,95,1245,2203,57980,522,1278,1504,16252,1080,26720,37006,5058,4511,9011,1972,7630,865,2791,1240,1972,45872,3276,10797,6313,2467,4059,3108,657,351,582,1888,32120,1418,929,1983,3594,1188,1052,1669,20300,686,385,563
2018,M08,2018 Aug,5946,976,37903,3949,1601,1566,2510,1581,858,1467,969,959,809,5297,19258,669,886,1029,1054,895,83,1173,2104,56605,479,1167,1340,15852,1053,26067,36096,4814,4226,8576,1927,7386,828,2541,1097,1942,44579,3146,10450,6112,2331,3876,2998,627,329,557,1796,31474,1416,890,1814,3530,1156,1040,1617,19974,660,373,546
2018,M09,2018 Sep,5224,837,33075,3361,1401,1241,2246,1409,780,1271,863,847,716,4728,16391,594,753,942,945,753,79,1016,1813,50899,431,1040,1202,13560,921,22419,33584,3985,3764,7613,1750,6342,629,2132,938,1683,40918,2704,9129,5179,1870,3636,2716,531,289,487,1655,25324,1264,813,1624,2965,1046,926,1429,16848,559,347,499
2018,M10,2018 Oct,5165,832,33613,3347,1384,1279,2253,1388,772,1253,863,842,718,4693,16427,593,765,951,982,744,89,1036,1852,51527,431,1042,1191,13463,937,22188,34211,3982,3765,7557,1743,6263,632,2178,942,1678,41903,2668,9180,5101,1854,3639,2698,515,300,497,1677,25031,1261,801,1611,2937,1094,923,1411,16622,571,363,480
